From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
hsa:64388	Q9H772	reviewed	GREM2_HUMAN	Gremlin-2 (Cysteine knot superfamily 1, BMP antagonist 2) (DAN domain family member 3) (Protein related to DAN and cerberus)	GREM2 CKTSF1B2 DAND3 PRDC	Homo sapiens (Human)	168
hsa:29978	Q9UHD9	reviewed	UBQL2_HUMAN	Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)	UBQLN2 N4BP4 PLIC2 HRIHFB2157	Homo sapiens (Human)	624
hsa:3174	Q14541	reviewed	HNF4G_HUMAN	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	HNF4G NR2A2	Homo sapiens (Human)	408
hsa:3283	P14060	reviewed	3BHS1_HUMAN	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (3-beta-hydroxy-5-ene steroid dehydrogenase) (3-beta-hydroxy-Delta(5)-steroid dehydrogenase) (EC 1.1.1.145) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Delta-5-3-ketosteroid isomerase) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Steroid Delta-isomerase) (EC 5.3.3.1) (Trophoblast antigen FDO161G)	HSD3B1 3BH HSDB3A	Homo sapiens (Human)	373
hsa:84720	Q8TEQ8	reviewed	PIGO_HUMAN	GPI ethanolamine phosphate transferase 3 (EC 2.-.-.-) (Phosphatidylinositol-glycan biosynthesis class O protein) (PIG-O)	PIGO UNQ632/PRO1249	Homo sapiens (Human)	1089
ehi:EHI_035690	Q03077	reviewed	LGL1_ENTH1	Galactose/N-acetyl-D-galactosamine lectin light subunit 1 (Gal/GalNAc lectin light subunit 1) (Galactose-inhibitable lectin 35 kDa subunit)	lgl1 EHI_035690	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	288
pae:PA3159	G3XD94	reviewed	UGND_PSEAE	UDP-N-acetyl-D-glucosamine 6-dehydrogenase (UDP-D-GlcNAc 6-dehydrogenase) (EC 1.1.1.136) (UDP-N-acetylglucosamine 6-dehydrogenase)	wbpA PA3159	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	436
ag:CAB77207	Q9L3F7	unreviewed	Q9L3F7_ANAPI	Propionate CoA-transferase (EC 2.8.3.1)	pct	Anaerotignum propionicum (Clostridium propionicum)	524
eco:b0750	P11458	reviewed	NADA_ECOLI	Quinolinate synthase (EC 2.5.1.72) (Quinolinate synthetase A)	nadA nicA b0750 JW0733	Escherichia coli (strain K12)	347
hsa:3060	O43612	reviewed	OREX_HUMAN	Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	HCRT OX PPORX PPOX	Homo sapiens (Human)	131
eco:b3132	P0C8K0	reviewed	KBAZ_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ	kbaZ agaZ yhaX b3132 JW3101	Escherichia coli (strain K12)	426
hsa:7372	P11172	reviewed	UMPS_HUMAN	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (OMPD) (EC 4.1.1.23) (OMPdecase)]	UMPS OK/SW-cl.21	Homo sapiens (Human)	480
hsa:7372	A8K5J1	unreviewed	A8K5J1_HUMAN	Uridine 5'-monophosphate synthase (EC 2.4.2.10) (EC 4.1.1.23)	UMPS hCG_1780791	Homo sapiens (Human)	480
hsa:219981	Q8NGI9	reviewed	OR5A2_HUMAN	Olfactory receptor 5A2 (Olfactory receptor OR11-248)	OR5A2	Homo sapiens (Human)	324
hsa:219981	A0A126GVD5	unreviewed	A0A126GVD5_HUMAN	Olfactory receptor	OR5A2	Homo sapiens (Human)	324
cte:CT1320	Q8KCU0	reviewed	BCHR_CHLTE	Bacteriochlorophyllide d C-12(1)-methyltransferase (EC 2.1.1.331)	bchR CT1320	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	456
